ROBT,2011-03-10 07:35,6.156,30,-2.179,992.85
ROBT,2011-03-10 07:40,6.158,30,-2.18,992.85
ROBT,2011-03-10 07:45,6.161,25,-2.179,992.85
ROBT,2011-03-10 07:50,6.160,28,-2.181,992.85
ROBT,2011-03-10 07:55,6.167,30,-2.181,992.69
ROBT,2011-03-10 08:00,6.163,30,-2.182,992.69
ROBT,2011-03-10 08:05,6.158,30,-2.182,992.69
ROBT,2011-03-10 08:10,6.152,30,-2.185,992.85
ROBT,2011-03-10 08:15,6.155,26,-2.185,992.69
ROBT,2011-03-10 08:20,6.152,27,-2.186,992.69
ROBT,2011-03-10 08:25,6.150,30,-2.189,992.52
ROBT,2011-03-10 08:30,6.148,30,-2.19,992.52
ROBT,2011-03-10 08:35,6.147,30,-2.19,992.69
ROBT,2011-03-10 08:40,6.143,29,-2.191,992.69
ROBT,2011-03-10 08:45,6.137,26,-2.192,992.69
ROBT,2011-03-10 08:50,6.130,28,-2.193,992.69
ROBT,2011-03-10 08:55,6.126,30,-2.194,992.69
ROBT,2011-03-10 09:00,6.124,30,-2.198,992.69
ROBT,2011-03-10 09:05,6.121,30,-2.199,992.52
ROBT,2011-03-10 09:10,6.121,30,-2.196,992.52
ROBT,2011-03-10 09:15,6.117,23,-2.194,992.52
ROBT,2011-03-10 09:20,6.120,29,-2.194,992.52
ROBT,2011-03-10 09:25,6.116,30,-2.194,992.36
ROBT,2011-03-10 09:30,6.116,30,-2.191,992.36
ROBT,2011-03-10 09:35,6.110,30,-2.188,992.2
ROBT,2011-03-10 09:40,6.109,30,-2.188,992.36
ROBT,2011-03-10 09:45,6.112,23,-2.186,992.36
ROBT,2011-03-10 09:50,6.110,30,-2.186,992.2
ROBT,2011-03-10 09:55,6.103,30,-2.188,992.2
ROBT,2011-03-10 10:00,6.101,30,-2.188,992.36
ROBT,2011-03-10 10:05,6.096,30,-2.185,992.2
ROBT,2011-03-10 10:10,6.094,28,-2.185,992.04
